Geneid,featureCounts on data 282: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 288: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 296: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 300: Counts_HISAT2 on data 38 and data 37: aligned reads (BAM),featureCounts on data 304: Counts_HISAT2 on data 42 and data 41: aligned reads (BAM),featureCounts on data 310: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 312: Counts_HISAT2 on data 50 and data 49: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 60 and data 59: aligned reads (BAM)
1,27,29,41,69,108,41,35,34
10,5,3,7,23,23,13,7,6
100,69,84,93,97,187,67,53,79
1000,3613,5497,8177,8045,10049,4079,3804,4370
10000,268,455,201,386,932,311,294,231
100008587,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0
100009601,0,0,0,0,0,0,0,1
100009602,0,0,0,0,0,0,0,0
100009605,1,0,0,0,0,0,0,0
100009606,2,0,0,0,0,0,0,0
100009607,0,3,2,2,3,1,0,0
100009613,4,1,2,0,4,1,1,0
100009676,76,104,103,171,158,75,103,100
10001,1118,1572,1872,2817,2687,1381,1075,1531
10002,37,36,53,53,76,48,24,53
10003,1763,1793,1664,2857,2996,1989,1149,1590
100033411,51,38,17,66,55,69,38,51
100033413,23,45,28,112,49,30,21,30
100033414,13,17,17,16,11,8,14,19
100033415,6,3,6,16,5,5,4,7
100033416,78,53,105,61,170,67,59,57
100033417,11,6,5,2,3,2,4,1
100033418,20,17,20,49,40,19,14,20
100033419,15,17,16,16,19,29,21,37
100033420,11,5,15,58,8,9,6,10
100033421,9,4,3,9,14,4,4,6
100033422,21,16,15,6,23,15,10,16
100033423,27,24,12,19,16,14,5,21
100033424,23,14,37,37,93,26,17,25
100033425,96,75,93,179,142,85,78,98
100033426,48,49,53,168,60,53,55,74
100033427,18,25,32,40,41,27,24,26
100033428,18,8,8,8,24,13,9,22
100033429,11,6,3,7,15,5,5,5
100033430,31,41,37,49,47,25,41,61
100033431,59,76,63,46,83,58,55,63
100033432,62,75,80,0,112,79,70,78
100033433,27,37,42,77,63,38,22,46
100033434,79,46,79,84,175,47,41,75
100033435,57,42,41,73,81,58,47,51
100033436,23,16,23,70,46,17,18,29
100033437,15,99,15,38,28,5,11,22
100033438,106,61,81,409,145,70,67,137
100033439,51,39,36,278,69,28,45,72
100033440,32,36,37,129,39,33,27,43
100033441,30,9,16,10,33,19,32,18
100033442,336,182,333,938,348,251,239,543
100033443,17,10,15,21,19,6,21,15
100033444,16,6,5,10,7,2,9,12
100033445,17,3,13,29,17,8,6,11
100033446,4,3,6,10,10,6,5,6
100033447,4,11,6,10,18,4,7,4
100033448,26,17,14,25,16,7,21,20
100033449,13,10,14,17,34,6,5,7
100033450,123,58,77,51,138,76,68,131
100033451,32,14,20,14,34,14,20,39
100033453,7,10,11,5,7,3,2,6
100033454,6,3,4,7,3,9,3,2
100033455,5,9,4,20,2,7,5,11
100033456,2,1,3,4,0,4,0,2
100033458,13,10,2,2,3,6,2,0
100033460,61,62,51,44,57,21,33,46
100033603,45,31,31,25,66,17,33,30
100033799,49,19,37,30,43,19,36,39
100033800,0,0,0,0,0,0,0,0
