Name_GeneSymbol,NAA,PFC
CRK,3.97649679868623e-05,0
SLC11A2,2.35002353448719e-05,0
MAPK13,2.286685521251,0.953091575535132
PAX8,2.02271642023578,0
PPARG,0.961072457755215,0
FUT1,0.854399965717052,1.77669759969926
STX1A,0.762745679106594,0
FHL2,0.729847864315014,0
CCNA1,0.700457990927445,0
PTPRK,0.638391498654202,0
HSPA1A,0.601562246824504,0.893820981483517
PMAIP1,0.563231593618888,0.177581544268461
SATB1,0.545167520713759,0
SPDEF,0.538995573524456,0.925300449991231
MEF2C,0.531731192354396,0
IL1B,0.458244647268799,0
HERC6,0.438734985627326,0
SPP1,0.428263382535748,0
HOMER2,0.421594818032038,0
GLRX,0.37442897443706,0.187609611399937
CAST,0.351052181791543,0
STMN1,0.339186024597622,0.462874749072382
DNM1,0.337643883500736,0
PYCR1,0.325753980527471,0
TRIB1,0.324118920282809,0
ID2,0.31539617279101,0
LIPA,0.302068821156722,0
PTGS2,0.296896084768843,0
HES1,0.295056176078518,0
PPIC,0.2913903423341,0
PRSS23,0.284204231389657,0
BNIP3,0.281874843886091,0.303670631750815
PLP2,0.274745140257928,0.664734801765961
PAK1,0.26716063098879,0
SNAP25,0.260209662493503,0
MCUR1,0.259174321118578,0
TES,0.258494283386973,0
TRAM2,0.253787216780695,0
NFKBIE,0.243494841337231,0
SYK,0.242731882079503,0
CDKN1A,0.242125621020723,0
TSC22D3,0.239054565758927,0.18495599397361
ATP11B,0.236331123432668,0
STAP2,0.234208289339206,0
SLC5A6,0.230047970002147,0
STXBP1,0.228134839415923,0
RPA3,0.22286714347945,0
CERK,0.221880760677169,0
MTFR1,0.218084758851683,0
SACM1L,0.217887411326006,0
GTF2E2,0.216158111718551,0
PPARD,0.212843131418912,-0.0075947887692995
SIRT3,0.212812825135389,0.22658480469745
PSMB10,0.209279866609277,0
EDEM1,0.206965524269512,0
CHP1,0.206211632570898,-0.0163044490815562
BHLHE40,0.205747578761769,0
DYNLT3,0.195801019464692,0
PCBD1,0.194068061331213,0.190419343697283
ADAM10,0.192840690896677,0
PEX11A,0.192624203237015,0
RALB,0.192374975398494,0
AURKB,0.192295145750387,0
MPC2,0.183737780624443,0
PXMP2,0.177592918659359,0
GFOD1,0.177474364535505,0
CAPN1,0.177012810092188,0
BMP4,0.173192744491717,0
HK1,0.17141788656375,0
IGF2BP2,0.171033362174084,0
GATA2,0.170917874425413,0
COL1A1,0.170277543290126,0.489014854320405
ICAM1,0.168078606091026,0
PDHX,0.166404112959518,0
S100A13,0.16581462917039,0
CHEK2,0.164881700868802,0.151985091991162
FIS1,0.164314591662575,0.278627966423924
TLR4,0.164242392989538,0
PDLIM1,0.161965601481916,0
PCK2,0.161042993074019,0
KCNK1,0.160122316730213,0
GNA15,0.156581885331766,0
GNAS,0.15560760044941,0
ACAA1,0.15160315763402,0
SLC25A4,0.150211892460758,0
ATP1B1,0.149306338075675,0
DNAJB6,0.149230608452945,0.685966195104308
MAPK9,0.146752103804254,0
RPIA,0.146114399925757,0
ASAH1,0.144210897974576,0
TBX2,0.143938993608268,0
SHC1,0.14356662858762,0.237329016676457
MAMLD1,0.143453166593753,0
ATP2C1,0.142314824478733,0
FPGS,0.141557164203394,0.162603155857759
FSD1,-0.000320998299676778,0
ADCK3,-0.000523812092686944,0.179836087123635
MYCBP,-0.000777589335104211,0
GPER1,-0.0016390904738111,0
IGF1R,-0.00179787320755228,0
KDM5A,-0.00212882301424274,0
