Name_GeneSymbol,NAA,PFC
PAX8,2.29703697523637,0
FUT1,1.09986199621393,1.3617489014304
MAPK13,1.04075438355242,0.351745758901546
SPDEF,0.824007037559097,0.458036175846373
FOSL1,0.591361664058206,0
PPARG,0.445348390589392,0
CCL2,0.378286750419123,1.2941759670896
STX1A,0.341857671244242,0
PTPRK,0.306064173473835,0
MUC1,0.277985457143977,0
HMGA2,0.272124125858085,0
DENND2D,0.268591012834021,0
PLP2,0.259827141542638,0.645653284626647
BMP4,0.257078985341561,0
CCNA1,0.24713356397516,0
MEF2C,0.244515152165552,0
ORC1,0.243971941143313,0.22822890067227
HERC6,0.241794639026892,0
SYK,0.240417191175879,0
FHL2,0.229227884859149,0
TSC22D3,0.223353650770199,0
PMAIP1,0.222972732155192,0
SPP1,0.218825432465634,0
GATA2,0.205666928855438,0
PPARD,0.203237314903526,0
NFKBIE,0.194689506351681,0
ICAM1,0.177240829211456,0
TLR4,0.170554195713925,0
SLC5A6,0.16251854293244,0
PYCR1,0.160828037916771,0
PCBD1,0.153529225112482,0
PXMP2,0.152300332045254,0
RPA3,0.151458070730214,0
GTF2E2,0.151394254537836,0
CASP3,0.151319756431692,0
CAST,0.143934114038023,0
LIPA,0.142131752430102,0
SHC1,0.140969305843678,0
EDEM1,0.140632532591333,0
TES,0.13972814196125,0
STMN1,0.138952792537401,0.429508139383622
BNIP3,0.134532263346452,0.287047252985335
C2CD2,0.131775072439389,0
CTNNAL1,0.129998673131294,0
PHKA1,0.129509493127802,0
PROS1,0.127687536252157,0
TSPAN4,0.127305947482317,0
XPO7,-0.000145732989617528,0
ARL4C,-0.000261780548327579,0
MCOLN1,-0.000427448449633145,0
KAT6B,-0.000592237736728841,0
TP53BP1,-0.000834443299281369,0
PSME1,-0.00132699987579235,0
TMEM97,-0.0019152474686292,0.171808617098716
CFLAR,-0.00198896371999406,0
NOSIP,-0.00225076534834417,0
LRPAP1,-0.00227391281038419,0
SLC35B1,-0.00235123393648814,0
P4HTM,-0.00244712052012357,0
TATDN2,-0.00244863049011837,0
RSU1,-0.00249970662862511,0
FBXO7,-0.00253806837314538,0
VAT1,-0.00269227053284891,0
SLC11A2,-0.00269437890020067,0
CCNF,-0.00276170088062543,0
TIMP2,-0.00280753859220057,0
RAB21,-0.00285551056194061,0
IL13RA1,-0.00290153667847109,0
RAB27A,-0.00294572490491239,0
HDAC6,-0.00301770102998033,0
NCK2,-0.00314470770928268,0
NFATC3,-0.00326843562319707,0
SMARCC1,-0.00331487607700574,0
TBP,-0.00339711843951134,0
ALDOA,-0.00352756261164513,0
DNAJA3,-0.00380905693454701,0
VPS28,-0.00381114817103481,-0.0058800559724468
PTGS2,-0.00423231811602617,0
FKBP4,-0.00429153150079239,0
ADCK3,-0.00432817241621099,0
TRAM2,-0.00460510869893057,0
STK25,-0.00467183979006382,0
CDK4,-0.00483935874548105,0
CIRBP,-0.00522959862172742,0
RAB4A,-0.00543680362654638,0
FSD1,-0.0055979598250572,0
HS2ST1,-0.00627459688412533,0
NUP133,-0.00652996513545258,0
GMNN,-0.00669310179143177,0
SMC1A,-0.00693327708581448,0
ANKRD10,-0.00697075147011959,0
CDK7,-0.00776983247732532,0
SYPL1,-0.00800396097729162,-0.00147217973781273
SPRED2,-0.00841188483957486,0
ME2,0,9.69977624501473e-05
GATA3,0,1.41754010926276
RPS6,0,0.817989980278651
DNAJB6,0,0.641081298335427
PNP,0,0.58175729637707
HSPA1A,0,0.568244454889399
PGAM1,0,0.530330002174763
POLR2K,0,0.521986161720721
PHGDH,0,0.474731343305221
TRAPPC6A,0,0.466939535947006
IL1B,0,0.438588679599937
CXCR4,0,0.41111845644325
HSPA8,0,0.314219671246734
GLRX,0,0.289245935944137
DERA,0,0.288664026361252
LSM5,0,0.278338634209296
CEBPA,0,0.272983936803119
STXBP2,0,0.270233749759621
PRKCD,0,0.268550495553329
MYBL2,0,0.266642460044701
SCAND1,0,0.264432860489233
