Name_GeneSymbol,NAA,PFC
SRC,-0.014566641108777,-0.0471312913246213
XPO7,-0.000145732989617528,-0.074751350865745
PIN1,0.0357682399962016,0.0743451925064603
NGRN,0.0758258613453278,0.0988854783983431
CSRP1,-0.0175111118672747,-0.0913713063623146
FCHO1,-0.0228242750907916,0.0765003660828203
SLC35F2,0.0319338715608618,-0.0748790991809347
AMDHD2,0.0198769193506306,0.154812810061644
PNP,-0.0575037140481313,0.58175729637707
DUSP22,0.0671587279311391,-0.0137234974443977
SLC25A46,0.029815824728442,-0.0810538276945214
CAMSAP2,-0.0245424830058887,-0.0633156417966864
SMNDC1,-0.0802219410636793,0.00258687994087762
MAN2B1,0.070840035468279,0.148495123789517
FHL2,0.229227884859149,0.025680301106227
HYOU1,-0.0670346484980254,-0.0783698233629397
MBOAT7,-0.0720374856120994,-0.0365565859555795
MKNK1,-0.0334603558662675,0.0254191801079764
P4HTM,-0.00244712052012357,0.0840253891330327
CBLB,0.0539932533158507,-0.0179929710618417
NFE2L2,-0.0660873833422893,-0.0249670227389566
RAB11FIP2,0.0154768332247061,0.00600907142377389
SLC35A1,0.0834537744315979,0.0202788374724301
GNAI1,0.013698391275061,0.0168860283567147
HPRT1,0.114311293174251,-0.0468472119875276
PLCB3,-0.142308455060866,-0.147422750944841
ALDH7A1,0.0680002265517149,-0.00310046165292035
PLSCR3,-0.0768102123841716,0.0499088249607913
EPN2,-0.0392439009811986,-0.0475179290434594
APP,-0.0370305807831044,-0.134919045716643
SMARCA4,-0.0697396026157168,-0.106503416314839
TIMM22,0.00740314471573409,-0.00758527464064226
TIMP2,-0.00280753859220057,-0.0854325799890589
PLA2G15,-0.0624164321366894,-0.0767664593630052
RPA3,0.151458070730214,0.102905054787039
NR2F6,-0.0592604725037398,0.128369330111441
YTHDF1,0.0186932473734633,-0.0380076270834088
PPP1R13B,-0.0122467160518149,-0.0494708935933136
KLHL9,-0.0628204850516722,-0.0233875194921629
COG7,0.00298230619067112,-0.0404552349629613
TIMM9,-0.0104777125588302,0.0527037350108024
HS2ST1,-0.00627459688412533,-0.0220736423652952
HIST2H2BE,-0.0555937082350801,-0.112226724625183
GOLT1B,0.0499886439568792,-0.08435464811395
HADH,0.0261895396187228,0.0525407531186978
SSBP2,0.0314602256003092,-0.0961751418731609
VPS28,-0.00381114817103481,-0.0058800559724468
RPN1,0.00102644210517471,-0.0596076686744709
MAST2,-0.0333364462587685,-0.0460339522164813
SUPV3L1,0.0288206413564446,0.0171417360136838
NMT1,0.0169602155699294,-0.0165330570925515
CCNA2,-0.0628971765234053,0.105106009729464
PIK3R3,0.013901468911896,-0.0257887889419641
ABL1,-0.0463455315765736,-0.0579219560799447
TOPBP1,-0.0355520222536006,-0.0316378290099911
IFNAR1,0.0573257672652613,0.0124604539218586
CDC20,-0.372280068291327,0.0717386758007434
MEST,-0.043538096060533,-0.00179807321561313
LSM5,-0.0339070130612222,0.278338634209296
CDK4,-0.00483935874548105,0.0794040373028339
S100A4,-0.139606167743603,0.208085893402758
YKT6,0.00925495540841416,-0.00432553828228139
HLA-DMA,-0.0430863218855249,-0.0230273344807093
PHKG2,-0.0122743251300717,0.129472416832509
PPARD,0.203237314903526,-0.114704820981078
DNAJA3,-0.00380905693454701,-0.0186289643799769
CASP3,0.151319756431692,0.16519666243192
NUDT9,0.0274296593493619,0.00132853310462663
CTSD,0.0141445027407885,-0.0440500879751684
TMEM2,-0.039309475464529,-0.0192078165671995
WDTC1,-0.0273048299006841,-0.0325500376661133
MOK,-0.0935626524251824,0.0272343388234063
EAPP,0.0434634140094698,-0.0170275811736603
FAH,-0.0210313750192533,0.0788519836520126
CETN3,0.100868158150236,0.00763055725853389
HMGCS1,0.0342898669011387,-0.0327152957909756
CDC42,0.020339139272288,0.0119483560541275
GLRX,0.115818747421704,0.289245935944137
MFSD10,-0.0698064339569753,-0.00545097039613791
PAPD7,-0.0168568812102739,-0.0494607120268182
PRUNE,-0.054363346516611,0.00517038956325789
TSPAN6,0.00161702820525364,0.0418415410775126
PAICS,0.0563340295560528,0.0983083654127598
GTPBP8,-0.0227835885055361,0.0982824167576598
TGFB3,-0.0871459235116351,-0.193840707463962
ANXA7,0.0618887286719929,0.0373977184239883
PRKAG2,-0.0779899669682725,-0.0764099823691691
MCOLN1,-0.000427448449633145,0.0345378662331844
SDHB,0.015028142062321,0.132043306050423
LGALS8,0.0817923521323138,0.0161017600730256
GPER1,-0.0447168056309996,-0.0938306909256977
MYCBP,0.0431928769107164,0.0632253110756848
SLC1A4,-0.0690010439877969,-0.140008401653229
GFPT1,-0.136991967087182,-0.0566444993596276
KDM5A,0.0040431656510533,-0.0775706812617059
NOTCH1,-0.051776837199015,-0.0314671131004934
LAP3,-0.0604174269412126,-0.0734811102089827
ST3GAL5,-0.0834202970500054,0.0225455466415196
PRR7,-0.265110215101574,-0.0370937860261724
RPIA,0.111801907674138,-0.0766526086450871
EDN1,0.0707651102083012,-0.178555355547402
CAB39,0.0346728044793058,-0.00839662191389604
TESK1,-0.111193395357985,-0.077849832443991
THAP11,0.00336273212491726,0.0326172149597155
HMG20B,-0.0284979358752523,-0.14395584131249
SHB,-0.0814226835206064,-0.104620374051311
PLEKHM1,-0.0404311279647623,-0.057142151447358
HACD3,0.0628947533830035,-0.0591286046233751
ABHD6,-0.146042400492183,-0.0665688780203357
MCUR1,0.0906231746079701,-0.00262963614392046
PTK2B,-0.0961233194344241,0.0557388003643617
PPOX,0.0839386511717879,0.0780800751222122
IKBKB,-0.0754594443869876,-0.155129971326347
