Name_GeneSymbol,AI,CG,DLPFC,NAA,OFC,SUB
TERT,1.68418992621215,0,0.973231241003993,-0.00367361631507228,0.357311423,0
PLSCR3,1.66491684895324,0,0.616635827876365,1.75051324122922,0,0.367891697759138
TSTA3,1.33994460857231,1.83946300421027,-0.00450047654166903,0.267894512209465,0.241606143,0
RNH1,1.3072051906782,0.875199794676647,0,0.727460138671894,0,1.42915483072834
INTS3,1.12084052982854,0,0,0,0,0
GATA3,1.10941190143351,0.676517220434098,0,0,0.758430472,0
SFN,1.10880764827742,0,0,0,0.402479392,0
COL1A1,0.869173853135381,0.574511613302756,0.960720300340581,0.316104654458838,0,0
UBE2C,0.801223471635836,0,0,0,0,0
S100A4,0.724232393873846,0.770781229916263,0.705191930799327,0.338545627228063,0.62329663,0
DAXX,0.63438478284794,0,0,1.37719259989852,0,0
HMGA2,0.54494822074546,0,0.378670600420696,0.769319927901315,0.649966699,0
NOS3,0.543853940580575,0,0.563961355700443,0,0.424097804,0.190401182842511
PAX8,0.528188105714941,0,0.406242578780556,0,0,0
CCDC85B,0.499471119265055,0.423968305944479,0,0,0,0
PAK4,0.492370574089286,0,0,0,0,0
NPEPL1,0.477506681793505,0.765912086834407,0,0,0,0
HLA-DRA,0.469831991010443,0,0,0.761959672175778,0,0
FGFR4,0.467948109304525,0,0.632520102341366,0.318295350007808,0,0
EML3,0.458620627784649,0.423804687711056,0,0,0,0
GATA2,0.452904797315246,0,0,-0.004252302428905,0.416381722,0.40917306316691
LAMA3,0.438400489872515,0,0,0.319950047318493,0.203597327,0
RAC2,0.425228368991775,0,0.309846857884465,0,0,0.332644596356267
PRR15L,0.424398801603027,0,0.363108928588225,0,0.253468316,0
TSPAN4,0.423429793514613,0,0,0,0.40691457,0
PLCB3,0.40955309224145,0,0,0,0,0
GPC1,0.404772111838223,0,0,0,0,0
AMDHD2,0.401037889976388,0,0,0,0,0.294235299446743
BDH1,0.398647379200354,0,0,0,0,0
ICAM1,0.395961885418313,0,0,0,0.298579366,0
IL4R,0.388116213776224,0.582287020928098,0.385184878486732,0.160951288579914,0.247196138,0
CTNND1,0.37640498805994,0,0,0,-0.004095717,0
NPDC1,0.363671307562746,0,0,0,0,0
HOOK2,0.359571218077887,0,0,0,0,0
TBX2,0.35850057886348,0,0.382694297208603,0.400783192224844,0.28914142,0.450281294407531
SERPINE1,0.345836426964406,0.733558937810156,0,0,0.391457947,0
MRPL12,0.342840669364701,0,0.330344222522867,0,0,-0.00868247464817175
MYL9,0.340695637985858,0.478799823031525,0.547635142215267,0,0.453680256,0
AXIN1,0.327740696586569,0,-0.00557325054803234,0,0,0
NFATC4,0.321303462512047,0,0,0,0,0
PAK6,0.319753488697081,-0.0230084994822999,0,0,0,0
KIF2C,0.316609521176644,0,0.394845660143275,0,0,0.192912251122991
SORBS3,0.311124717574535,0,0,0,0,0
TRAPPC6A,0.308789976343635,0,0,0.289500817257626,0,0
LPAR2,0.308713709727136,0,0.351643893915866,0,0.35726003,0
PXN,0.308461259980431,0,0,0,0,0
PTK2B,0.306671305635426,0.411841399331769,0,0,0,0
SMARCA4,0.305555031201551,-0.00390520684270363,0,0,0,0
ADI1,-0.000736276697515734,0,-0.0065313791545895,0,0,0
EAPP,-0.000988321448652062,0,0,0,0,0
FAIM,-0.00109815918275969,0,0,0,0,0
USP22,-0.00129286415614184,0,0,-0.000138819684864085,0,0
NUDT9,-0.00158836611234613,0,0,0,0,0
KDM5B,-0.00420577363321954,0,0,0,-0.000969103,0
MACF1,-0.0054043374326877,0,0,0,0,0
CDC25A,-0.00544616027210939,0,0,0,0,0
MLEC,-0.00650556740724437,0,0,0,0,0
COPS7A,-0.0068679575629406,0,0,0,0,0
YTHDF1,-0.007216487961646,0,-0.00217441020342937,0,-0.009008357,0
GDPD5,-0.00755112329286925,0,0,0,0,0
RNF167,-0.00767145525284518,0,0,0,0,0
MTERF3,-0.00860145927373586,0,0,0,0,0
UBE2L6,-0.00918033587145289,0,0,0,0.192123416,0
NIPSNAP1,-0.0102208842437281,0,0,0,0,0
PCBD1,-0.0116119226517781,0,0,0,0.203277085,0
DDX10,-0.0118178654318353,0,0,0,0,-0.0081367956728179
PECR,-0.0119474361646692,0,0,0,0,0
GLOD4,-0.0120005430206891,0,0,0,-0.003795017,0
P4HA2,-0.0120191227279227,0,0,0,0,0
CDCA4,-0.0120533410841257,0,0,0,0.198175751,0
NUCB2,-0.0121696009321316,0,0,0,0,0
GSTZ1,-0.0123785445534136,0,0,0,0,0
ZW10,-0.0132236287726759,0,0,0,-0.007702684,-0.00722891221986913
POLR2I,-0.0132673377498493,0,0,0,0,0
