sheet,count,region,percentage,comparison,species
DownConcordant,5115,Mouse_PFC,L1000_5%,Overall,Mouse
DownDiscordant,9222,Mouse_PFC,L1000_5%,Overall,Mouse
UpConcordant,936,Mouse_PFC,L1000_50%,Females,Mouse
UpDiscordant,1442,Mouse_PFC,L1000_50%,Females,Mouse
DownDiscordant,3894,Mouse_PFC,L1000_50%,Females,Mouse
DownConcordant,643,Mouse_PFC,L1000_50%,Females,Mouse
UpDiscordant,3904,Mouse_PFC,L1000_50%,Males,Mouse
UpConcordant,788,Mouse_PFC,L1000_50%,Males,Mouse
DownDiscordant,429,Mouse_PFC,L1000_50%,Males,Mouse
DownConcordant,299,Mouse_PFC,L1000_50%,Males,Mouse
UpConcordant,887,Mouse_PFC,L1000_50%,Overall,Mouse
UpDiscordant,2507,Mouse_PFC,L1000_50%,Overall,Mouse
DownDiscordant,2057,Mouse_PFC,L1000_50%,Overall,Mouse
DownConcordant,384,Mouse_PFC,L1000_50%,Overall,Mouse
Discordant,960,Mouse_PFC,100%,NA,Mouse
Concordant,71,Mouse_PFC,100%,NA,Mouse
Discordant,315,Mouse_PFC,100%,NA,Mouse
Concordant,20,Mouse_PFC,100%,NA,Mouse
Discordant,875,Mouse_PFC,100%,NA,Mouse
Concordant,41,Mouse_PFC,100%,NA,Mouse
