Name_GeneSymbol,NAC,NAC_Pval,PFC,PFC_Pval
CRK,3.97649679868623e-05,0.999332903625225,0,0
SLC11A2,2.35002353448719e-05,0.999586056896357,0,0
MAPK13,2.286685521251,0.0122588846084329,0.953091575535132,0.0454055032641972
PAX8,2.02271642023578,0.0452767910168937,0,0
PPARG,0.961072457755215,0.0314835972746086,0,0
FUT1,0.854399965717052,0.285400721567212,1.77669759969926,0.0222108942392008
STX1A,0.762745679106594,0.0309213597567794,0,0
FHL2,0.729847864315014,0.0283351117751589,0,0
CCNA1,0.700457990927445,0.125282270412412,0,0
PTPRK,0.638391498654202,0.0318918137897459,0,0
HSPA1A,0.601562246824504,0.0107986712313418,0.893820981483517,0.00060156310806608
PMAIP1,0.563231593618888,0.0278317974033291,0.177581544268461,0.432892132258943
SATB1,0.545167520713759,0.0353414364451175,0,0
SPDEF,0.538995573524456,0.417059038025154,0.925300449991231,0.110163785632472
MEF2C,0.531731192354396,0.049105629606678,0,0
IL1B,0.458244647268799,0.441107978942381,0,0
HERC6,0.438734985627326,0.100073677888831,0,0
SPP1,0.428263382535748,0.135063331157272,0,0
HOMER2,0.421594818032038,0.0905864466264752,0,0
GLRX,0.37442897443706,0.0302117394046362,0.187609611399937,0.0985685345482403
CAST,0.351052181791543,0.00334703560214597,0,0
STMN1,0.339186024597622,0.0709899546626502,0.462874749072382,1.06136976975909e-07
DNM1,0.337643883500736,0.10310477363308,0,0
PYCR1,0.325753980527471,0.10678851756561,0,0
TRIB1,0.324118920282809,0.15692071039341,0,0
ID2,0.31539617279101,0.0290065188003856,0,0
LIPA,0.302068821156722,0.00489201971368801,0,0
PTGS2,0.296896084768843,0.357188163038938,0,0
HES1,0.295056176078518,0.0146511307131568,0,0
PPIC,0.2913903423341,0.084226416156785,0,0
PRSS23,0.284204231389657,0.0804512191899606,0,0
BNIP3,0.281874843886091,0.000234295241956497,0.303670631750815,0.000899246785121332
PLP2,0.274745140257928,0.367765853580228,0.664734801765961,0.00537642956223552
PAK1,0.26716063098879,0.0559905300872572,0,0
SNAP25,0.260209662493503,0.0621997553847229,0,0
MCUR1,0.259174321118578,0.0121478046872075,0,0
TES,0.258494283386973,0.0961305916314536,0,0
TRAM2,0.253787216780695,0.639443758919364,0,0
NFKBIE,0.243494841337231,0.228934219632734,0,0
SYK,0.242731882079503,0.0196181092576004,0,0
CDKN1A,0.242125621020723,0.269242952982403,0,0
TSC22D3,0.239054565758927,0.0158242407130432,0.18495599397361,0.019222944617669
ATP11B,0.236331123432668,0.0180294967259833,0,0
STAP2,0.234208289339206,0.162889280411978,0,0
SLC5A6,0.230047970002147,0.017727682134876,0,0
STXBP1,0.228134839415923,0.133277553911932,0,0
RPA3,0.22286714347945,0.0107414572032336,0,0
CERK,0.221880760677169,0.0552765638045749,0,0
MTFR1,0.218084758851683,0.0277856628442882,0,0
SACM1L,0.217887411326006,0.000691707702544818,0,0
GTF2E2,0.216158111718551,0.000145382068491432,0,0
PPARD,0.212843131418912,0.14886632425634,-0.0075947887692995,0.951014734492787
SIRT3,0.212812825135389,0.00454094627100205,0.22658480469745,0.0698373970903846
PSMB10,0.209279866609277,0.116968014314048,0,0
EDEM1,0.206965524269512,0.000563042313191066,0,0
CHP1,0.206211632570898,0.000915659668366028,-0.0163044490815562,0.762508255754128
BHLHE40,0.205747578761769,0.276435177344783,0,0
DYNLT3,0.195801019464692,0.000307222256586405,0,0
PCBD1,0.194068061331213,0.361637234777308,0.190419343697283,0.257893245023701
ADAM10,0.192840690896677,0.0201420746675853,0,0
PEX11A,0.192624203237015,0.719671525078859,0,0
RALB,0.192374975398494,0.0156870358755333,0,0
AURKB,0.192295145750387,0.624534198784534,0,0
MPC2,0.183737780624443,0.00481689070974614,0,0
PXMP2,0.177592918659359,0.109168325440123,0,0
GFOD1,0.177474364535505,0.212859432199932,0,0
CAPN1,0.177012810092188,0.168767755424078,0,0
BMP4,0.173192744491717,0.291054646909183,0,0
HK1,0.17141788656375,0.121841341488778,0,0
IGF2BP2,0.171033362174084,0.544300519377568,0,0
GATA2,0.170917874425413,0.392964293180366,0,0
COL1A1,0.170277543290126,0.529753004969832,0.489014854320405,0.185919852494144
ICAM1,0.168078606091026,0.346239137073358,0,0
PDHX,0.166404112959518,0.000214482899594146,0,0
S100A13,0.16581462917039,0.0234923129905625,0,0
CHEK2,0.164881700868802,0.4159087653735,0.151985091991162,0.441213079909502
FIS1,0.164314591662575,0.00087337291024712,0.278627966423924,0.0057577363704622
TLR4,0.164242392989538,0.250762099055899,0,0
PDLIM1,0.161965601481916,0.443057379510536,0,0
PCK2,0.161042993074019,0.101312076444702,0,0
KCNK1,0.160122316730213,0.0439182318598218,0,0
GNA15,0.156581885331766,0.335535142697784,0,0
GNAS,0.15560760044941,0.298626981418385,0,0
ACAA1,0.15160315763402,0.418266911810642,0,0
SLC25A4,0.150211892460758,0.00312338383298823,0,0
ATP1B1,0.149306338075675,0.0999464419344568,0,0
DNAJB6,0.149230608452945,0.00215547733958164,0.685966195104308,1.69579248927719e-09
MAPK9,0.146752103804254,0.00605337220464025,0,0
RPIA,0.146114399925757,0.0269270748027688,0,0
ASAH1,0.144210897974576,0.000916852335294592,0,0
TBX2,0.143938993608268,0.416050897165979,0,0
SHC1,0.14356662858762,0.16290170250185,0.237329016676457,0.0507762680958747
MAMLD1,0.143453166593753,0.231628381665292,0,0
ATP2C1,0.142314824478733,0.000295307612487179,0,0
FPGS,0.141557164203394,0.180570237844014,0.162603155857759,0.381227417339552
FSD1,-0.000320998299676778,0.994676445266669,0,0
ADCK3,-0.000523812092686944,0.992950497272148,0.179836087123635,0.0731967821027446
MYCBP,-0.000777589335104211,0.989460917482413,0,0
SKIV2L,-0.00158938731431924,0.969719939032531,0,0
GPER1,-0.0016390904738111,0.990803378690612,0,0
IGF1R,-0.00179787320755228,0.982838683662709,0,0
KDM5A,-0.00212882301424274,0.943987996337031,0,0
RTN2,-0.00217685942552497,0.973382304011046,-0.00698528353276276,0.941689672863742
TIMP2,-0.00242402806659822,0.961544087152852,0,0
MTHFD2,-0.00285675307492483,0.973569203961546,0,0
THAP11,-0.00287822763345064,0.956304686018463,0,0
PHKB,-0.00329286888664645,0.933147588157074,0,0
SQSTM1,-0.0032983293849109,0.934242669850959,0,0
RRAGA,-0.00340811442343162,0.977059160912443,0,0
NFATC3,-0.00354920733662505,0.948416995559122,0,0
