GeneID,logFC,logCPM,F,PValue,FDR
DDHD1,-0.155508446535735,7.19773997309017,11.0630410149623,0.00165063157994586,0.999995502975264
OSBPL6,-0.14645525007972,6.80913307822454,11.0454036847697,0.0016635273760181,0.999995502975264
CELF2-AS2,-0.507104141557362,4.3678477945054,10.518284431078,0.00214481865635062,0.999995502975264
YTHDC2,-0.124450049674683,6.95131992971605,10.4468537573476,0.0028622043955684,0.999995502975264
NPAS4,-3.39851125650281,2.61098868163393,9.45845962563239,0.00354288584293841,0.999995502975264
LINC00473,-0.542138084341358,3.83970733908766,9.24712693029349,0.0038046722678249,0.999995502975264
KCNIP4-IT1,-0.383168706031632,7.45221272310364,9.07067708508195,0.00411364082026105,0.999995502975264
GPR171,-0.392986975634942,3.80268861169633,8.9441800675613,0.00432940358279924,0.999995502975264
FGF14-IT1,-0.366978894697477,4.56666849100595,8.81175704570119,0.0046120808978668,0.999995502975264
MIR124-1HG,-0.297969396833116,6.01206846310059,8.71912161420813,0.00480780803461887,0.999995502975264
NALF1-IT1,-0.394678789511148,4.42195934254198,8.7264564718454,0.00480901569190091,0.999995502975264
FAM120B,1.39663304252873,1.73128397918654,8.69736953486363,0.00493318413670925,0.999995502975264
ZNF641,-0.16846502662072,5.88810596824833,12.072350760958,0.00518163031395034,0.999995502975264
SSBP1,0.401587177252297,4.2850428236279,8.56379309041316,0.00518238336913888,0.999995502975264
FRG1,-1.25084116838361,1.62619044807456,9.4425856462132,0.00530148797648208,0.999995502975264
LOC101928961,-0.352615242994564,4.33671864426947,8.20103408049065,0.00612918390498861,0.999995502975264
TUBA1C,0.247120437857953,5.95293938973391,8.17506224562808,0.00618347489776711,0.999995502975264
RSPO2,0.230082843400198,5.54919198096992,8.0214552908235,0.00664148280262184,0.999995502975264
IL7,-0.341252221862408,4.83507701535127,7.96848457888922,0.00685409856259343,0.999995502975264
GABBR1,-1.40122917634512,1.48541076885606,8.15295125473413,0.007026512096435,0.999995502975264
SMG1P5,-0.675695012586872,3.33421756341431,7.79751719974803,0.00750998552433758,0.999995502975264
NEDD9,-0.317587867225077,4.81132086097268,7.71959624398101,0.00770251184725032,0.999995502975264
SCN3A,-0.117350926869466,7.72581261132835,7.44159238753348,0.00875507183821033,0.999995502975264
SLC38A11,-0.413032402845338,3.36232630401749,13.3111238341444,0.00923723051794397,0.999995502975264
ZNF493,-0.163843778566761,5.9035161896482,7.28663201532866,0.00943667434505019,0.999995502975264
CTNNAL1,-0.2107830032711,5.05165873579094,11.749772163187,0.00988150136467608,0.999995502975264
RNR2,0.7907401049273,9.14129363708484,7.22349707102878,0.00992776140100159,0.999995502975264
FRMD6,-0.206840617275883,5.07318608994788,7.30281909897778,0.0107647606381058,0.999995502975264
DLGAP1-AS5,-0.318699921559203,4.28638424853646,7.00867735845203,0.0108518149192408,0.999995502975264
PDE4D,-0.107546997678186,7.99000008240886,6.92059687818573,0.0112802477146253,0.999995502975264
RPS21,0.182156024423809,5.75164817180447,6.88068890798412,0.0115032282037839,0.999995502975264
EEF1G,0.113579523667445,6.89446145329714,6.77300195454477,0.0121286007212728,0.999995502975264
GK5,-0.160300556166809,5.71075106990083,7.60527140033717,0.0125291557641942,0.999995502975264
COL12A1,-0.268857830000064,5.6720780014691,6.71047720839013,0.012563887117975,0.999995502975264
HNRNPA1,0.122765603404354,6.44687060452331,10.5922757751275,0.0132718495053704,0.999995502975264
NDUFB9,0.131496296194773,6.23576834707979,6.89260070199565,0.013803919389837,0.999995502975264
TMEM108-AS1,-0.425551377273234,3.16741051637635,9.74102664212552,0.0138197761034647,0.999995502975264
FNBP1L,-0.135017428472709,6.17137500582466,6.4962080095177,0.0139078350702081,0.999995502975264
NR4A3,-0.558361078685266,4.38150777303941,6.52325045499147,0.0139246569036042,0.999995502975264
NCR3LG1,-0.126220934802594,6.35426914840803,6.75386366169027,0.0139796985773485,0.999995502975264
FREM1,-0.301656649805073,4.15776860787634,6.49220674164307,0.0139803455216504,0.999995502975264
FAT2,-0.55915999820798,3.60045472244587,6.50023226771344,0.0140525762313325,0.999995502975264
YPEL5,0.122333467956333,7.64130728216981,6.3941704420466,0.014632095567503,0.999995502975264
NR4A1,-0.740316867378037,3.73947722365084,6.38787321937233,0.014902353845931,0.999995502975264
TTN,-0.189319694817141,8.15311684992323,6.33423554505869,0.0150761466673318,0.999995502975264
TLE5,0.133149978106461,7.26983357891798,6.29991080208961,0.0153369003144487,0.999995502975264
HABP4,0.123715923571414,7.58470563598966,6.27092875372408,0.0155608089058844,0.999995502975264
ZSCAN23,-0.2383905265327,4.94536891885768,6.27036025298448,0.0155965339208396,0.999995502975264
PWAR1,-0.321558033786162,5.42825665483188,6.27456669514882,0.0156547192564913,0.999995502975264
MIR137HG,-0.249871872438664,4.48176538073467,6.23415315925774,0.0158775237067012,0.999995502975264
TRMT9B,-0.171775128040969,6.42020644053357,6.17123873698564,0.0163579780366792,0.999995502975264
GPATCH2L,-0.0831311538234046,7.57219568041989,6.10749237922842,0.0168904665751906,0.999995502975264
CPLANE1,-0.0994103350955483,7.90664810521835,6.07155645958778,0.0171987710661426,0.999995502975264
CCN1,-0.999684494198018,2.99376864417823,6.01535227334202,0.0179594683026515,0.999995502975264
TJP1,-0.734189804752039,2.67352322538772,5.97214512440471,0.0182982970081751,0.999995502975264
CMYA5,-0.164975668242557,5.62499403269416,5.92936934324016,0.0184788164803346,0.999995502975264
MIR124-2HG,-0.175852043064799,7.01575409335099,5.85999078444933,0.0191399902467779,0.999995502975264
