Name_GeneSymbol,AI,CG,DLPFC,NAA,OFC,SUB
RNH1,2.86879583518022,0,2.53899045833592,0.70028470977733,0.933904960422483,0
IER3,2.82287091646064,0,2.09578034710854,0,0,2.8901879545522
TERT,1.62446337260597,0,0,0,-0.0163702174860092,0.700697629945081
FGFR4,1.34951482585985,0,0,1.22253228969758,0,0.629238048033604
CXCL2,1.31878968293216,-0.0476450928303478,1.88060499278884,1.01384087237191,0,0
MYCBP,1.21177564689156,0,0.369031376756998,-0.0299868373751604,0.293341741736373,0
SFN,1.2066268739045,2.9252790177173,0,0,0,-0.0251464902613723
UBE2C,1.18101930303139,3.85008826430932,0,0,1.63816722405708,0.497167229272097
PAK4,1.16863631914879,0,0,0.292045506962374,-0.00268086790480987,0.182198641997424
CCDC85B,1.16790219507599,0,0.295567654953853,0,0.174249109011961,0
AMDHD2,1.11661399286336,0,0,0,0.269824123535593,0
GATA3,1.08318698300288,2.12448871468306,0.311754873451227,0,4.40592827751461,0
HLA-DRA,0.941196211325723,0,3.30714801049391,0.893575743531903,0,0.898545759619328
SLC27A3,0.920787423788459,0,1.39406362839985,0.438330366814025,1.88682195345199,1.20877365110744
DDIT4,0.819896262103512,0,0.403927291728936,0.313772845317444,0,0.259006587633837
CTNND1,0.801853177154844,0,0,0,0,0
APOE,0.795330997892192,0,0.49616368997815,0.287142227565322,0,0
TOP2A,0.79191358481105,0,0,0,0,0
DUSP4,0.779026220155399,0,1.00235080923434,0,0,0.31204731660307
PRR15L,0.753567080469287,0,0,0.938354834057469,0,0.67851015436486
NPDC1,0.748314951538872,0,0,0,0,0.182492408894941
ATF5,0.747016233983771,0,0,0.500770326901345,0.272641305940235,0
MBOAT7,0.743865963453835,0,0.500964781018865,0,0,0
TBXA2R,0.741949567647415,0,0,0.365301234430103,0.828944546553384,0
EGR1,0.725022026369044,0,0.803626732102417,0.304240789594649,0,1.12160983367367
FZD7,0.71917475973769,1.43992678720797,0.910865040898403,0.36940647013287,0,0.22263858951495
COL1A1,0.704053376986372,2.27873174858919,2.26578714385227,1.0914486127627,0,0.935266424192866
TSTA3,0.687276185773184,0,0,0.752954585925211,0,0
EML3,0.662189999630551,1.0790874255314,0,0,0,0
PAX8,0.632517999354169,4.31944862508181,0,0.543395548699998,0.344319344671725,0.785012309385645
MFSD10,0.625454705370964,0,0,0,0,-0.0282105223202738
STUB1,0.618050751019089,0,0,0,0,0
PLP2,0.615283608532509,2.42495028259174,0,0,0,0
GRB7,0.605015637225334,0,0,0,0,0.537328086373388
NFATC4,0.597040861231271,0,0.386929005219666,0,0,0
MVP,0.596904350337653,0.96368886252688,0,0,0,-0.00863869519409045
IFRD2,0.595616876582013,-0.0211647632972479,0,0,0,0
S100A4,0.589410618045823,1.09181271553502,1.33719202754237,0,0,0
PACSIN3,0.577357666774762,1.41657012399818,0,0,0,0
GADD45B,0.572619266785314,-0.0561268634385071,0.372055405314307,0,0,0
CCDC86,0.56156771837883,0,0,0,0,0.360048050890612
NFKBIB,0.554250028144549,0,0,0,0,0
ZFP36,0.553262975064849,1.16010358484198,0,0.470841410524516,0,0
NPEPL1,0.549202918713168,0,-0.00104461334218017,0.589978296643692,1.04227885901523,0
AXIN1,0.544561848158378,0,-0.0215347904512059,0,0,0
CDC45,0.543908570636595,0,0,0,0,0
FUT1,0.542125732306895,0,0,0,0,0
PNKP,0.538131692931494,0,0,-0.00120287633007087,0,0
FOS,0.534762352128474,0,0.698267181266956,0,0,0
SH3BP5,0.534428790613402,-0.0548644129471858,0,0,0,0
GPER1,0.531813675651951,0,0,0.359869080118022,0,0
COASY,0.522102369794225,-0.110136184139787,0,0,0,0
TRAM2,0.517396690719483,0,0,0.495987828581011,0,-0.000165192318038943
POLD4,0.515340252038447,0,-0.0245628661734215,0,0,-0.0159940778779628
ETFB,0.511721456276952,0,0,0,0,0
ABCB6,0.508294870308158,-0.071590353690869,0,0,0,0
FOSL1,0.506366438470084,0,0,0,0.837590129089069,0.347240843529487
GPC1,0.506210462035985,0,0,0,0,0
PAK6,0.504972645974584,0,-0.0199943402654681,0,0,0
SQSTM1,0.494166087338333,0,0,0,0,0
WFS1,0.493957454837874,0,0,0.52898321529413,0,0
KLHL21,0.493951145643386,0,0,0,0,0
TUBB6,0.492862512547101,0,0,0,0,0
TRAPPC6A,0.489997852207673,0,0,0.3980009275574,0,0
SORBS3,0.488523789523798,1.12520438964643,-0.00971844782357848,0.354761566289243,0,0
