Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
Mouse_PFC_Female,Promazine,-0.53290276,InputSig,NA,NA,LINCSCP_10334,A673,10uM,6h
Mouse_PFC_Female,Lanacordin,-0.45362529,InputSig,NA,NA,LINCSCP_27283,HT29,10uM,6h
Mouse_PFC_Female,NSC25485,-0.45196017,InputSig,NA,NA,LINCSCP_25153,HT29,10uM,6h
Mouse_PFC_Female,Proscillaridin A,-0.44195153,InputSig,NA,NA,LINCSCP_25150,HT29,10uM,6h
Mouse_PFC_Female,SMP2_000249,-0.44183536,InputSig,NA,NA,LINCSCP_26957,HT29,10uM,6h
Mouse_PFC_Female,AC1NWALC,-0.43878753,InputSig,NA,NA,LINCSCP_25165,HT29,10uM,6h
Mouse_PFC_Female,SPECTRUM2_001084,-0.43304198,InputSig,NA,NA,LINCSCP_25160,HT29,10uM,6h
Mouse_PFC_Female,Sepantronium,-0.42763387,InputSig,NA,NA,LINCSCP_54324,SW620,0.5uM,6h
Mouse_PFC_Female,Cymarin,-0.42505516,InputSig,NA,NA,LINCSCP_27050,HT29,10uM,6h
Mouse_PFC_Female,AC1NWALF,-0.42112441,InputSig,NA,NA,LINCSCP_25167,HT29,10uM,6h
Mouse_PFC_Female,Lapatinib,-0.4155124,InputSig,NA,NA,LINCSCP_69600,A375,0.12uM,24h
Mouse_PFC_Female,Bufalin,-0.41122479,InputSig,NA,NA,LINCSCP_27135,HT29,10uM,6h
Mouse_PFC_Female,Digoxin,-0.40779348,InputSig,NA,NA,LINCSCP_26992,HT29,10uM,6h
Mouse_PFC_Female,GNF-PF-159,-0.40739249,InputSig,NA,NA,LINCSCP_23296,HEPG2,10uM,6h
Mouse_PFC_Female,Gossypol,-0.39773599,InputSig,NA,NA,LINCSCP_54189,SW620,10uM,6h
Mouse_PFC_Female,NSC 663284,-0.39621467,InputSig,NA,NA,LINCSCP_21496,HEPG2,10uM,6h
Mouse_PFC_Female,Ouabain,-0.39503227,InputSig,NA,NA,LINCSCP_26905,HT29,10uM,6h
Mouse_PFC_Female,CHEMBL3182405,-0.39271693,InputSig,NA,NA,LINCSCP_12639,CORL23,10uM,6h
Mouse_PFC_Female,Menadione,-0.39198567,InputSig,NA,NA,LINCSCP_219242,HEPG2,10uM,6h
Mouse_PFC_Female,Salermide,-0.39108108,InputSig,NA,NA,LINCSCP_54104,SW620,100uM,6h
Mouse_PFC_Female,Azacitidine,-0.38166856,InputSig,NA,NA,LINCSCP_27292,HT29,10uM,6h
Mouse_PFC_Female,Calmidazolium,-0.38152232,InputSig,NA,NA,LINCSCP_6544,A549,10uM,6h
Mouse_PFC_Female,MLS000564806,-0.38025392,InputSig,NA,NA,LINCSCP_10293,A673,10uM,6h
Mouse_PFC_Female,NSC23766,-0.37574214,InputSig,NA,NA,LINCSCP_12509,CL34,100uM,6h
Mouse_PFC_Female,CHEMBL41721,-0.37411089,InputSig,NA,NA,LINCSCP_16221,HA1E,10uM,6h
Mouse_PFC_Female,"3,7-Bis(dimethylamino)phenothiazin-5-ium",-0.36862774,InputSig,NA,NA,LINCSCP_54180,SW620,10uM,6h
Mouse_PFC_Female,CGK733,-0.36595014,InputSig,NA,NA,LINCSCP_50409,PHH,3uM,6h
Mouse_PFC_Female,Tamoxifen,-0.35989369,InputSig,NA,NA,LINCSCP_43683,NPC,10uM,6h
Mouse_PFC_Female,O-Demethylated Adapalene,-0.35977656,InputSig,NA,NA,LINCSCP_19527,HCC515,10uM,6h
Mouse_PFC_Female,CHEMBL1434137,-0.3570101,InputSig,NA,NA,LINCSCP_54003,SW480,40uM,6h
Mouse_PFC_Female,Rottlerin,-0.35660572,InputSig,NA,NA,LINCSCP_21630,HEPG2,10uM,6h
Mouse_PFC_Female,BRD-K80786583-001-01-5,-0.35574834,InputSig,NA,NA,LINCSCP_26533,HT29,10uM,6h
Mouse_PFC_Female,KUC111774N,-0.35486982,InputSig,NA,NA,LINCSCP_23803,HEPG2,3uM,6h
Mouse_PFC_Female,ITK Inhibitor,-0.35484801,InputSig,NA,NA,LINCSCP_149405,NPC,1.11uM,24h
Mouse_PFC_Female,79966-13-5,-0.35453045,InputSig,NA,NA,LINCSCP_54333,SW620,10uM,6h
Mouse_PFC_Female,Phloretin,-0.35412712,InputSig,NA,NA,LINCSCP_54179,SW620,100uM,6h
Mouse_PFC_Female,BRD-A24396574-001-01-5,-0.35384212,InputSig,NA,NA,LINCSCP_145765,MDAMB231,10uM,3h
Mouse_PFC_Female,MEGXM0_000203,-0.35147471,InputSig,NA,NA,LINCSCP_50410,PHH,10uM,6h
Mouse_PFC_Female,Cycloheximide,-0.35005381,InputSig,NA,NA,LINCSCP_27110,HT29,10uM,6h
Mouse_PFC_Female,ML228,-0.34938628,InputSig,NA,NA,LINCSCP_26097,HT29,10uM,6h
