Gene,SRR5961996,SRR5962000,SRR5962001,SRR5962005,SRR5962007,SRR5962009,SRR5962012,SRR5962013,SRR5962019
ABHD8,7.365231084,5.471025596,6.938820504,6.548816173,5.973191985,5.536137173,5.794170319,4.89514647,6.597226335
ABI1,88.48044869,119.0824133,98.05903349,103.4618001,122.4264711,117.6170337,103.3460245,97.00005415,88.43012212
ABI2,554.0189393,452.3109434,552.087181,480.2689581,455.4400152,537.9910182,509.6052251,532.9374549,539.4699661
ABI3,0.793487232,1.338601645,1.059138103,2.521646104,1.7006095,1.376379863,1.039910231,1.699233295,1.734448569
ABI3BP,39.14274463,17.40485427,23.66737848,15.19492735,28.16248405,33.91085676,19.45847945,15.88797556,14.98781642
ABITRAM,12.98071062,10.41318325,12.87470072,9.746898235,10.72984666,11.87669019,10.03165835,11.7381042,13.62448066
ABL1,22.64883991,10.22625663,12.73717109,15.93417288,13.7178635,14.46211156,14.13061575,18.54881494,16.26773431
ABL2,140.6765172,101.6194896,123.2902198,117.6372354,97.11964492,123.7048274,109.7415401,123.523737,129.2580691
ABLIM1,229.4379048,203.0303289,153.9463,140.9837313,201.4742842,250.9812487,168.7816652,182.7375785,172.8483563
ABLIM2,54.60735378,29.69112815,42.85974229,37.49065325,39.44402174,37.59729109,34.38901723,43.29849527,45.60705836
ABLIM3,28.75893046,18.04414206,20.97850372,22.04621346,17.78635114,19.79753258,14.54846545,18.25091111,23.04869585
ABR,1.642241355,5.249598889,1.791031851,4.709057594,4.200834283,11.59356722,3.397603078,4.004386308,1.29628149
ABRA,0.246563758,0.087215227,0.162062045,0.260673226,0.145134333,0.236035654,0.172162545,0.347844553,0.190390931
ABRACL,2.690508204,8.248015878,7.743835536,6.587195938,6.834952371,5.30187204,6.578538733,6.055340132,4.577898102
ABRAXAS1,8.924270372,12.18843914,7.006332584,8.870471982,11.55190206,8.121323193,9.052766977,8.976264794,9.59014032
ABRAXAS2,22.29032801,30.17267966,25.40104241,25.35308147,25.38696877,25.82496539,24.38856444,22.51396853,23.76758374
