SYMBOL,logFC,logCPM,F,PValue,FDR
CCNB2P1,-56.57750585424069,1.4232540198003043,1320.1511332399393,1.3198369863506804e-33,1.669388779629164e-33
EZHIP,-56.920042949439534,1.1126143447622532,1319.6819034611074,1.3295263218052835e-33,1.681313707130605e-33
RPL31P8,-54.46604385797932,1.7537665089561922,1317.596146157985,1.373506133542738e-33,1.7365890245834187e-33
NTAN1P1,-54.27881943847836,1.9547038576193634,1316.5742940187697,1.3956061420041477e-33,1.764184380332616e-33
CD24,-38.80508011451074,6.804669670806298,1315.001604707795,1.430349709035159e-33,1.807748463305143e-33
STK33P1,-56.70597343655945,1.2202276314296945,1314.7234176288669,1.4365890518527823e-33,1.8152774249791688e-33
MTND2P2,-51.86596527205887,2.573907041834105,1314.1055940015908,1.4505481124841418e-33,1.8325561680303385e-33
RPL23AP3,-57.80341592616134,0.9597060459728158,1313.8429547661601,1.4565251177945989e-33,1.8397459420327223e-33
RPL21P104,-57.84787011794887,1.0370286135543807,1312.9346805687512,1.4773947222435356e-33,1.8657401350986777e-33
CD5L,-59.21216351565181,0.6912065543742155,1312.8970374122007,1.4782663852199536e-33,1.866474515430807e-33
NR0B1,-57.29914696517336,0.997305838055027,1312.8394724134591,1.479600398913442e-33,1.8677922618151827e-33
SDC4,-37.52134310049199,7.346359250605795,1311.924901299564,1.5009646547906593e-33,1.89438995963671e-33
SMIM24,-51.03202872840011,3.5420625606857796,1311.5617448348662,1.5095373152488224e-33,1.904835925656272e-33
NTSR1,-53.44888875178881,2.2464035580523314,1310.378371315351,1.5378294993326212e-33,1.9401563383421753e-33
TBC1D3I,-45.83577854177627,4.607804506903725,1309.073058595023,1.5696820539564696e-33,1.979953853549406e-33
RPS3AP18,-57.14998915770638,1.2130531857885123,1308.9472042795903,1.572789485101905e-33,1.9834845633523927e-33
CD300C,-58.61380396061147,0.8958847635867834,1308.7943867016281,1.5765713196500727e-33,1.9878642295783846e-33
AJM1,-45.8647363134235,4.572809130099357,1308.6784921927642,1.579445753384868e-33,1.9910982817019118e-33
RPL8P5,-58.286716728677376,0.9116974178311547,1308.0510276160294,1.5951038005945638e-33,2.0104433286098803e-33
NXNL1,-56.642715626936756,1.1208777881508032,1304.1989554155357,1.6948609046041634e-33,2.1357571399252854e-33
MRPL35P1,-58.42031614019782,0.9641205813099157,1303.0564775821424,1.725687703103272e-33,2.1741772412971696e-33
LOC728138,-52.0045592087452,2.2652129195790542,1302.4576008769113,1.742080842027363e-33,2.194401029324853e-33
ADORA3,-48.682106009063666,3.6047698513255058,1301.71898503343,1.762523939382441e-33,2.2197174044728354e-33
FOXD2,-54.36809040124768,1.7640268839794466,1301.3652918217801,1.7724021084310222e-33,2.2317210341626083e-33
NEUROG2,-55.63384905118702,1.3801940414307754,1300.5107396783178,1.7965085767375624e-33,2.2616320301668768e-33
EEF1A1P31,-58.174916657326754,0.7599429538957349,1300.1256358741016,1.807484141699804e-33,2.275004007739159e-33
WDR46,-37.19592247428413,7.4785839877670375,1299.4075482842031,1.8281377796552193e-33,2.3005497528407718e-33
MUC20,-33.68612077131887,8.542264784260183,1299.081513258209,1.837596632365679e-33,2.312000613340194e-33
TXNIP,-35.90598517882979,8.03188267889754,1299.0532862115194,1.8384179557972193e-33,2.3125816796330687e-33
