triple,mean_rank,AI,CG,DLPFC,NAC,OFC,SUB
HCC515-6h-10uM,34,1,100,1,100,1,1
A375-6h-10uM,34.166666666666664,1,100,1,100,1,2
A549-6h-10uM,34.166666666666664,1,100,1,100,1,2
MCF10A-3h-0.37uM,34.166666666666664,1,100,1,100,2,1
MDAMB231-3h-3.33uM,34.5,1,100,1,100,1,4
A375-6h-0.5uM,34.666666666666664,2,100,2,100,2,2
A375-6h-80uM,34.666666666666664,2,100,2,100,2,2
MCF10A-3h-0.12uM,34.666666666666664,2,100,1,100,1,4
MDAMB231-3h-0.37uM,35.166666666666664,2,100,4,100,4,1
HCC515-6h-80uM,35.333333333333336,3,100,3,100,3,3
PC3-24h-10uM,35.5,5,100,2,100,5,1
MCF7-24h-0.12uM,35.666666666666664,5,100,1,100,4,4
YAPC-24h-10uM,36.166666666666664,2,5,5,100,5,100
MDAMB231-3h-10uM,50.5,1,100,1,100,1,100
MCF7-6h-10uM,50.666666666666664,2,100,1,100,1,100
A375-24h-10uM,50.833333333333336,2,100,100,100,2,1
HME1-3h-10uM,50.833333333333336,1,100,3,100,1,100
A549-6h-0.5uM,51,2,100,2,100,2,100
A549-6h-1uM,51,1,100,2,100,3,100
HA1E-24h-10uM,51,1,100,3,2,100,100
MCF10A-3h-10uM,51,1,100,4,100,1,100
MCF10A-6h-0.5uM,51,100,100,1,100,4,1
MCF10A-6h-10uM,51,100,100,1,100,1,4
HA1E-6h-10uM,51.166666666666664,3,100,3,100,1,100
HCC515-24h-10uM,51.166666666666664,3,100,3,100,1,100
HT29-24h-3.33uM,51.166666666666664,1,2,4,100,100,100
MCF10A-3h-3.33uM,51.166666666666664,4,100,1,100,2,100
PC3-24h-3.33uM,51.166666666666664,5,100,1,100,100,1
A549-6h-3uM,51.333333333333336,3,100,2,100,3,100
A549-6h-80uM,51.333333333333336,3,100,2,100,3,100
