triple,mean_rank,AI,CG,DLPFC,NAC,OFC,SUB
MCF7-6h-10uM,17.666666666666668,1,2,1,100,1,1
HA1E-24h-10uM,18,1,1,1,100,3,2
HT29-24h-10uM,18.166666666666668,2,100,1,1,2,3
MCF7-24h-10uM,18.166666666666668,1,5,1,100,1,1
HT29-24h-3.33uM,18.5,2,1,3,2,100,3
PC3-24h-10uM,18.833333333333332,1,5,1,100,1,5
YAPC-24h-10uM,19.166666666666668,1,2,2,5,100,5
MDAMB231-3h-0.37uM,20,5,5,4,100,2,4
A375-6h-10uM,34,100,1,1,100,1,1
A549-6h-10uM,34,100,1,1,100,1,1
HCC515-6h-10uM,34,100,1,1,100,1,1
A375-24h-10uM,34.333333333333336,1,2,2,100,1,100
HA1E-6h-10uM,34.5,100,3,1,100,1,2
HA1E-24h-3.33uM,35,2,3,3,100,100,2
MCF7-24h-0.04uM,35,1,4,100,100,4,1
EFO27-6h-10uM,35.166666666666664,100,3,3,100,3,2
MDAMB231-3h-10uM,35.166666666666664,100,1,4,100,5,1
HT29-24h-0.04uM,35.333333333333336,4,100,1,100,4,3
YAPC-24h-3.33uM,35.5,1,100,2,100,5,5
HME1-3h-0.37uM,35.666666666666664,3,4,100,100,4,3
HT29-6h-10uM,50.5,100,100,1,100,1,1
HA1E-24h-0.04uM,50.666666666666664,100,1,1,100,100,2
HA1E-24h-0.12uM,50.833333333333336,3,1,1,100,100,100
VCAP-6h-10uM,50.833333333333336,3,100,1,100,1,100
ASC-24h-10uM,50.833333333333336,100,3,1,100,1,100
A375-24h-0.04uM,51,100,2,2,100,2,100
A375-6h-0.5uM,51,100,2,100,100,2,2
A549-6h-0.5uM,51,100,2,100,100,2,2
MDAMB231-3h-3.33uM,51,100,1,4,100,100,1
HELA-24h-10uM,51.166666666666664,3,1,3,100,100,100
HT29-24h-0.37uM,51.333333333333336,2,4,100,100,2,100
MCF7-24h-0.12uM,51.333333333333336,2,5,100,100,100,1
FIBRNPC-6h-10uM,51.333333333333336,100,3,3,100,2,100
HS578T-3h-10uM,51.333333333333336,100,4,2,100,2,100
NPC-24h-10uM,51.333333333333336,100,5,2,100,100,1
HCC515-24h-10uM,51.5,3,3,100,100,100,3
PC3-24h-3.33uM,51.5,2,5,100,100,100,2
HME1-3h-1.11uM,51.833333333333336,4,4,100,100,100,3
MCF7-24h-3.33uM,51.833333333333336,2,5,100,100,100,4
YAPC-24h-0.04uM,52,5,5,2,100,100,100
YAPC-24h-1.11uM,52,2,100,5,100,100,5
VCAP-24h-10uM,52,100,100,2,100,5,5
MCF7-3h-10uM,52.166666666666664,5,100,4,100,4,100
PC3-24h-0.04uM,52.5,5,100,5,100,100,5
HEPG2-6h-10uM,67,100,100,1,100,1,100
SKB-24h-10uM,67,100,100,1,100,1,100
SW620-6h-10uM,67,100,100,1,100,1,100
