Gene,SRR5961854,SRR5961858,SRR5961859,SRR5961863,SRR5961865,SRR5961867,SRR5961870,SRR5961871,SRR5961877
A1BG,0.403705671,0.762355013,1.081732929,0.630300019,0.933350891,0.468810368,0.681629804,0.658766775,0.646341786
A1BG-AS1,0.871283235,1.31171747,1.125206034,0.806672858,0.657304499,0.618758719,0.733423574,0.495383896,0.920294854
A1CF,1.192730836,1.29583911,0.671145901,1.004510404,0.451383786,0.819756486,0.732980564,1.251898309,1.037465556
A2M,64.02420507,171.2876106,102.9560993,135.7484616,200.366617,167.9987988,150.4661901,176.9429458,142.5741401
A2M-AS1,1.917277463,2.505120869,1.428437232,1.39000202,1.453530225,2.415356639,2.179803321,2.219387927,1.868057634
A2ML1,6.087646336,8.085789745,2.832563609,3.28293308,6.464693552,3.9432961,5.070731478,7.272266944,4.794930596
A2MP1,0.820192426,1.159526073,0.431964256,0.644523355,0.54801346,0.706850349,0.448036343,0.516269558,0.601352565
A4GALT,0.146537054,0.720927286,0.329823762,0.566245975,0.745332796,1.001036177,0.752441599,0.254114719,0.47207927
AA06,2.082029875,2.276242099,1.903361273,0.795500769,0.477910982,1.337722399,0.906886309,1.341368325,1.052141724
AAAS,6.933566958,9.407429554,9.197634004,8.009737164,7.737793996,9.298968252,7.744870893,7.548527692,8.474023996
AACS,39.88109921,33.1742792,47.73263809,42.22309086,31.41805153,34.51006512,31.0851571,32.06600464,37.84932966
AACSP1,0.444865038,0.528289923,0.369937185,0.334384413,0.278660251,0.511185746,0.35194683,0.280019992,0.375587687
AADAT,17.60184122,18.19364216,15.20270253,13.89903317,15.04042676,12.92697196,13.55230317,13.46923847,13.22170038
AAGAB,58.89367446,65.16967985,66.15051273,75.14834692,75.22548068,76.97511461,79.95188844,65.22526747,87.93659155
AAK1,506.3350799,368.9085035,425.0649735,386.2324789,385.4311023,429.205328,447.9464606,404.3914764,429.0821403
AAMDC,2.635526141,3.247644295,3.351417611,2.242491037,4.778520152,2.332063526,2.700409545,3.397526365,2.974083974
AAMP,29.02282327,25.30097935,28.58564315,29.97537553,31.61220407,30.36875303,31.03576325,26.41210696,32.42543457
AAR2,6.800114311,7.745600137,6.703007185,7.37789333,8.62637674,8.484776344,7.681351318,8.776123506,9.773909876
AARD,0.839494959,1.126394887,0.809796309,1.497213258,1.016650267,0.508632211,0.900485342,0.585104528,0.550732748
AARS1,252.756612,175.3173944,235.9207762,259.7659648,248.1148417,263.315467,258.2961451,245.3191827,277.4644899
AARS2,15.91680559,19.07386356,23.14164153,19.48629368,15.87809531,15.52679755,14.27805954,18.00148983,16.00535625
AARSD1,0.175202696,0.088405682,0.39001058,0.37389403,0.244817342,0.516468371,0.206135577,0.061502986,0.885717195
AASDH,29.59568273,37.50735143,29.69276234,22.42238586,34.87345024,27.63243835,33.47027276,30.34208512,30.23048557
AASDHPPT,119.7440217,129.2795963,123.0392059,152.6632784,155.5483492,153.5638847,182.8178895,140.5320109,185.0856586
AASS,30.01312735,49.09725829,16.6084972,23.73599123,30.34640194,30.29719022,33.84535028,34.88851815,31.95577664
AATBC,1.125385095,0.958723071,1.621309675,1.013681545,1.044277526,1.04712216,1.005954801,1.213893514,0.546180132
AATK,33.43530954,21.04224874,32.3538564,31.11800193,24.47059434,31.88580805,26.19454397,36.39703734,26.16230915
ABAT,299.4834629,265.5252399,278.2640248,279.6560496,277.0497111,274.8542257,285.0303115,281.4554334,283.1901042
ABCA1,34.8078935,48.48043179,21.38876783,28.74485456,41.96492877,26.85424862,26.61352829,34.63386577,28.14787693
ABCA10,31.51668628,45.05304655,39.15052659,24.88307349,24.14970054,30.07663929,31.75918074,30.08925408,33.98600448
ABCA11P,9.456812414,9.143186416,11.4296307,6.687166281,7.914948719,8.956164186,8.102160002,9.629501116,10.14093544
ABCA12,1.278810779,0.993385806,0.844021948,0.61352686,1.238938536,0.829856248,0.485315439,1.351462916,1.214250217
ABCA17P,2.814430977,4.302938688,3.34644867,2.832155216,2.360991919,3.10178403,2.578355126,2.528598889,2.22894241
ABCA2,139.508837,81.15431096,125.344035,104.6114799,92.04043973,130.0195758,90.29860096,163.6694037,92.17082425
ABCA3,96.62085938,53.74161706,96.83940925,81.29642791,78.53012233,77.08346428,77.23957345,82.22143191,67.65151142
ABCA4,0.41125842,1.101570714,0.881576469,0.814962949,1.178705698,0.479657571,0.928565881,0.900854826,0.865599695
ABCA5,149.2313781,166.6179538,157.8735394,142.7597212,129.0652743,160.6338033,172.888759,145.2034213,208.2712115
ABCA6,17.48102278,24.65674468,22.96127357,12.92389952,15.05892484,15.26809522,16.92238649,16.9627363,18.07175609
ABCA7,5.878500173,7.712217619,12.39117479,6.960652294,5.115145447,6.674812265,3.647260915,5.81573752,3.478979929
ABCA8,20.16198834,34.9789615,18.00112263,35.51863735,28.65897575,42.56440061,32.43141141,60.93697504,24.19236592
ABCA9,26.47531994,36.09689753,40.67590438,19.04487836,25.19815985,25.05324054,22.05848458,21.08157132,25.09091396
ABCB1,17.10955398,35.48750885,20.69159145,31.00851926,40.2322569,32.01596917,30.66469549,31.11803103,30.20644085
ABCB10,18.08952751,21.16601617,18.78830204,17.83804607,18.75994709,19.54326838,16.81430606,17.41447654,19.53655856
ABCB11,0.127932164,0.279731411,0.342795368,0.190135877,0.167839949,0.159867237,0.081531236,0.077842585,0
ABCB4,1.18278822,2.29640094,1.136573514,1.373981787,3.045881144,1.381770874,1.247654992,1.315292574,1.191308162
ABCB6,14.24341278,15.17294453,18.33217323,14.19151791,13.9857924,15.28307862,15.0825635,14.76885441,15.24121219
ABCB7,13.61720834,16.26069989,12.72663994,14.73163926,16.19276766,15.49586254,15.64998399,14.7962153,14.85196049
ABCB8,9.08537395,12.23870215,16.46645117,9.141716619,8.764513035,10.34256068,8.662051075,9.785866739,8.380797212
ABCB9,14.77107549,13.12199188,16.33662731,11.40385016,11.53338499,12.39006999,11.95672855,11.39120979,10.66599826
ABCC1,1.370566059,0.899047665,1.530829254,1.229328315,1.100703641,0.769209797,0.583183967,0.75055062,0.929552319
ABCC10,7.273844547,8.609500731,12.50153868,7.011035043,7.59253532,7.352797032,6.167902684,7.083290605,5.118044916
ABCC11,0.569883703,0.98375145,0.602766489,0.490353915,1.216832862,0.824584263,0.80283483,1.27295882,0.618415101
ABCC12,4.97015882,8.694042198,5.697610134,9.36371264,5.268798634,5.232703492,5.713277007,4.812392288,3.787117728
ABCC2,0.445929863,0.731289454,0.568594749,0.563719878,0.577276315,0.691752575,0.470385661,0.898208784,0.356671601
ABCC3,0.496690209,1.11072597,1.137302429,0.492128668,1.038962807,0.551712471,0.707078446,0.467067169,0.562467099
ABCC4,9.278539767,18.7949228,13.40685365,12.74464311,18.85010592,14.30373685,12.8211836,15.974141,10.67153011
ABCC5,87.83470582,90.64422944,99.71187326,75.61965941,62.19122406,83.50740505,68.48065323,71.88549155,74.72363639
ABCC5-AS1,0.351813451,0.576946035,0.565612358,0.369708649,0.451876785,0.301971449,0.302830304,0.554628421,0.274761553
ABCC6P1,0.595726843,0.92809734,0.287325965,0.206589517,0.414828418,0.372217595,0.325420313,0.312639451,0.403026812
ABCC8,24.42377884,28.58731553,42.58876721,22.0321584,22.28088369,26.96542314,17.82799609,19.93997623,21.40866479
ABCC9,29.97854691,33.81971817,16.99668549,27.34603888,51.29287356,28.19249237,27.977203,45.64716951,38.9928693
