Geneid,featureCounts on data 230: Counts_HISAT2 on data 2 and data 1: aligned reads (BAM),featureCounts on data 232: Counts_HISAT2 on data 4 and data 3: aligned reads (BAM),featureCounts on data 234: Counts_HISAT2 on data 6 and data 5: aligned reads (BAM),featureCounts on data 236: Counts_HISAT2 on data 8 and data 7: aligned reads (BAM),featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 250: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 254: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 262: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 282: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM)
1,75,49,42,76,111,51,66,60,48,45,44
10,10,5,12,7,10,9,11,22,8,2,8
100,149,108,36,70,159,77,61,99,79,56,60
1000,10360,7616,6265,4547,8911,6155,6888,6617,5959,5109,5877
10000,258,345,179,79,97,281,1664,311,96,437,176
100008587,0,0,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0,0,0
100009601,0,0,0,0,0,0,0,0,0,0,0
100009602,0,0,0,0,1,0,0,0,0,0,0
100009605,0,1,0,0,0,0,0,0,1,0,0
100009606,0,0,0,0,4,0,0,0,0,0,0
100009607,1,2,0,1,0,4,1,2,1,0,1
100009613,3,3,1,0,0,0,0,2,2,3,1
100009676,132,134,93,78,178,106,103,119,94,34,115
10001,2201,1964,1431,1289,1631,1645,1470,1616,1449,1206,1428
10002,23,50,27,32,26,55,50,49,60,29,37
10003,1880,2951,1254,1108,1356,1785,1323,2061,1655,1077,1512
100033411,21,56,28,33,50,59,26,54,61,15,25
100033413,166,210,146,98,182,233,338,253,187,51,119
100033414,18,22,9,23,33,42,39,29,29,9,16
100033415,17,26,10,11,11,18,24,14,13,8,32
100033416,74,126,69,89,105,131,74,129,129,77,100
100033417,0,4,5,11,8,13,3,9,17,0,11
