Gene,SRR5961948,SRR5961952,SRR5961953,SRR5961957,SRR5961959,SRR5961964,SRR5961965,SRR5961971
ACSL1,19.19801199,19.5503145,23.52415227,32.33264087,26.83565193,19.392757,31.22816122,23.99697646
ACSL3,228.3837502,297.9848284,288.1504398,241.9886857,345.5748816,374.7699306,348.280824,335.5725334
ACSL4,144.4248797,204.6272405,226.9033535,194.4150395,203.2901517,217.3495824,197.5160835,216.8075851
ACSL5,8.66839648,7.321892078,4.085477229,8.246950027,12.25838653,7.246770767,6.561964425,6.972300996
ACSL6,208.6066099,223.1306502,180.9180414,185.8531584,255.9639319,260.5722217,222.3404079,206.755297
ACSM3,0.431051834,0.071445648,0.095852644,0.240414009,0.262393444,0.667010466,0.459165488,0.236672873
ACSM4,0.694092831,0.598228618,0.64824839,0.675703822,0.473215612,0.668291946,0.946383738,0.631533646
ACSM5,1.862207163,2.527118392,1.682271025,3.245699344,2.966196227,2.801539097,3.074676524,2.501379112
ACSM6,3.392507519,1.719545789,1.255692859,1.78448439,2.515443656,1.625674185,2.014385581,1.31847314
ACSS1,38.27494946,40.37273636,22.22527926,39.22489658,30.91171216,35.20583971,27.00797286,28.15464494
ACSS2,13.56477886,13.25258746,12.81744086,14.14691319,12.55297937,12.10576522,13.96642594,12.88009225
ACSS3,14.93601568,13.86878512,6.233284604,13.54647366,18.66620813,15.6003133,15.21021066,14.19002642
ACTA1,0.698186524,1.134080337,1.397296495,1.614261515,0.906679225,0.960333527,0.872634968,0.98574575
ACTA2,0.803926163,1.46683512,1.263198219,1.530084833,2.973444069,1.206300068,0.945533654,1.113148195
ACTA2-AS1,5.796599745,3.503986015,3.275538714,3.803510862,3.276712322,3.189215994,4.416698034,3.423381564
ACTB,842.2185858,611.617564,772.3805297,712.2661032,596.3012355,631.5030996,662.0439356,721.1227749
ACTC1,3.636223458,2.783350338,2.705081135,2.440376544,2.210789079,2.591691853,2.591644535,1.929086761
ACTG1,339.0513185,337.8669281,357.2532492,330.795413,247.8317012,317.0495704,303.9839132,370.9029751
ACTG1P17,0.425320663,0.359528184,0.482348859,0.375234981,0.207123775,0.175504544,0.072489684,0.340280921
ACTG1P20,3.102568132,2.794793901,2.939640112,3.269331628,3.131278848,2.458442178,2.528982942,2.518206811
ACTG1P25,0.662674907,0.510208403,0.51337792,0.507250254,0.666242413,0.661564175,0.400766342,0.663979948
ACTG1P4,7.170551586,4.930573295,5.794903782,4.263138678,5.706817958,6.086798152,5.97090765,5.592225944
ACTL10,0.892227607,0.682542718,0.549426248,0.598547112,0.334230266,0.188804756,0.467898895,0.387601766
ACTL6A,3.286718474,3.935378656,3.104714085,5.663365476,6.299862431,4.041575102,4.481384591,3.600954867
ACTL6B,17.79827929,17.68024993,19.75344814,14.96907877,14.45871058,17.04336684,14.52114164,19.26915702
ACTN1,122.1518685,93.70418685,105.8072746,102.5107337,78.53062742,74.31478669,71.36141825,85.90346596
ACTN2,90.3708536,74.81042079,95.61938414,94.98231451,66.09130834,72.70834927,80.51072467,72.75915958
ACTN4,75.52859291,55.7207033,66.55677849,68.55690299,41.48230229,42.64288602,50.08482993,56.3602978
ACTR10,46.51881578,72.10660919,82.11776585,69.83308069,77.35084682,84.25025833,81.80332905,88.74813766
ACTR1A,59.47769973,58.60545938,77.12308222,62.73295708,58.50913228,63.84742308,68.12923566,70.64524493
ACTR1B,33.44511313,29.13686704,37.18937235,31.40567243,28.37978384,31.31442593,31.10704835,35.69944644
ACTR2,346.8346819,315.1025609,316.9985416,311.6840367,291.3845309,316.4022481,345.8628853,323.8745898
ACTR3,89.05049385,114.5986416,108.0242123,119.4013495,135.8603412,131.6282041,123.8143047,134.1649658
ACTR3-AS1,1.004931231,1.088221852,0.715090353,0.883193817,0.826515289,1.19795103,0.913471064,0.798747695
ACTR3B,55.51118107,48.87102025,55.43876017,44.21977289,43.61391734,37.17188766,36.50596997,39.33601651
ACTR3C,8.799627596,8.259054676,9.147291606,8.228191928,11.18643679,11.30156356,8.071039409,7.395571106
ACTR5,11.8608706,10.07720557,11.12107885,11.66312275,13.32581984,10.83870164,10.54528819,12.06500182
ACTR6,27.09225334,37.92917868,37.46966976,34.01451399,45.73863056,46.42065094,45.72648293,45.3446588
ACTR8,40.65287733,39.83625058,40.38883729,41.74256725,41.25203034,40.37944242,42.7105945,45.71289288
ACTRT3,1.66616864,1.585709205,1.744956946,1.907624494,1.727486523,1.219809005,1.74048621,2.057301914
ACVR1,17.39495164,13.50651946,12.16964135,15.79430199,13.70570716,12.65328251,13.37922663,12.88840534
ACVR1B,46.87098167,37.03936029,42.1719143,33.51041872,26.39623972,32.25699348,36.77670559,40.48368153
ACVR1C,25.06407748,42.72374881,23.73223061,28.45253157,32.07340179,38.18682972,29.68290154,29.08304719
ACVR2A,55.12404704,67.21105212,62.85631586,57.04111662,72.10131435,62.05179743,59.93670245,63.73424468
ACVR2B,44.376887,45.39839348,33.4457233,38.81862284,48.44145031,43.64223673,44.86208415,43.43309951
ACVR2B-AS1,2.233444014,1.793983938,0.830932178,1.189055039,1.213146335,1.107703754,1.354263517,1.253243938
ACVRL1,3.853560952,4.754514148,2.282046906,9.391204072,7.526539753,4.124148058,4.530749592,4.577568174
ACY3,0.457571441,1.072611249,0.915748081,0.934646893,2.419290013,1.247511307,1.114090815,0.876754344
ACYP1,7.428501345,11.0602945,11.9385133,9.899921592,10.58544787,12.67049027,11.36593974,12.13673711
ACYP2,12.79208711,18.03136917,15.702004,17.35323398,16.77096258,20.65513153,16.79720464,16.52162492
ADA,1.336332207,1.272806934,0.602688878,1.603256305,1.228214882,0.970818365,0.737808487,1.098373302
ADA2,6.088705967,6.055116939,3.695129455,8.206765553,8.524645369,6.06302281,7.062334913,4.954890406
