Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
Mouse_NA_Male,SMR000075319,-0.47704822,InputSig,NA,NA,LINCSCP_53393,SKMEL28,60uM,6h
Mouse_NA_Male,BRD-A24396574-001-01-5,-0.43867672,InputSig,NA,NA,LINCSCP_145765,MDAMB231,10uM,3h
Mouse_NA_Male,CHEMBL399379,-0.4148821,InputSig,NA,NA,LINCSCP_54236,SW620,80uM,6h
Mouse_NA_Male,CHEMBL3182405,-0.40877199,InputSig,NA,NA,LINCSCP_12639,CORL23,10uM,6h
Mouse_NA_Male,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",-0.40684262,InputSig,NA,NA,LINCSCP_64472,VCAP,20uM,24h
Mouse_NA_Male,Sepantronium,-0.40648536,InputSig,NA,NA,LINCSCP_54324,SW620,0.5uM,6h
Mouse_NA_Male,MLS000038106,-0.40505289,InputSig,NA,NA,LINCSCP_51249,RMUGS,10uM,6h
Mouse_NA_Male,Salermide,-0.39945739,InputSig,NA,NA,LINCSCP_54104,SW620,100uM,6h
Mouse_NA_Male,CHEMBL1434137,-0.39846191,InputSig,NA,NA,LINCSCP_54003,SW480,40uM,6h
Mouse_NA_Male,79966-13-5,-0.38684702,InputSig,NA,NA,LINCSCP_54333,SW620,10uM,6h
Mouse_NA_Male,Penfluridol,-0.38638665,InputSig,NA,NA,LINCSCP_57081,VCAP,30uM,6h
Mouse_NA_Male,CDK4 Inhibitor III,-0.38563626,InputSig,NA,NA,LINCSCP_22883,HEPG2,10uM,6h
Mouse_NA_Male,Menadione,-0.38477217,InputSig,NA,NA,LINCSCP_1021,A375,10uM,6h
Mouse_NA_Male,Gossypol,-0.38359654,InputSig,NA,NA,LINCSCP_54189,SW620,10uM,6h
Mouse_NA_Male,AKT Inhibitor IV,-0.37069872,InputSig,NA,NA,LINCSCP_10362,A673,10uM,6h
Mouse_NA_Male,Amiodarone,-0.36882091,InputSig,NA,NA,LINCSCP_41502,NEU,10uM,6h
Mouse_NA_Male,BRD-A80960055-001-01-7,-0.36742227,InputSig,NA,NA,LINCSCP_26585,HT29,10uM,6h
Mouse_NA_Male,Manumycin-A,-0.36703392,InputSig,NA,NA,LINCSCP_53412,SKMEL28,10uM,6h
Mouse_NA_Male,MLS000718723,-0.36541276,InputSig,NA,NA,LINCSCP_1685,A375,10uM,6h
Mouse_NA_Male,MLS002703105,-0.36463992,InputSig,NA,NA,LINCSCP_45349,PC3,10uM,6h
Mouse_NA_Male,GNF-PF-159,-0.36361625,InputSig,NA,NA,LINCSCP_23296,HEPG2,10uM,6h
Mouse_NA_Male,STK178014,-0.36242677,InputSig,NA,NA,LINCSCP_57213,VCAP,50uM,6h
Mouse_NA_Male,Arachidonyl Trifluoromethylketone,-0.36134271,InputSig,NA,NA,LINCSCP_53431,SKMEL28,80uM,6h
Mouse_NA_Male,NSC 663284,-0.35713699,InputSig,NA,NA,LINCSCP_2580,A375,10uM,6h
Mouse_NA_Male,LDN 193189,-0.35665101,InputSig,NA,NA,LINCSCP_12519,CL34,10uM,6h
Mouse_NA_Male,Narciclasine,-0.35346206,InputSig,NA,NA,LINCSCP_40181,NCIH508,10uM,6h
Mouse_NA_Male,MLS002554302,-0.3522947,InputSig,NA,NA,LINCSCP_46050,PC3,10uM,6h
Mouse_NA_Male,GNF-PF-2272,-0.3513974,InputSig,NA,NA,LINCSCP_2439,A375,10uM,6h
Mouse_NA_Male,Tamoxifen,-0.35028737,InputSig,NA,NA,LINCSCP_43683,NPC,10uM,6h
Mouse_NA_Male,Tamibarotene,-0.34832038,InputSig,NA,NA,LINCSCP_135570,MCF7,0.12uM,24h
Mouse_NA_Male,CCT036477,-0.34687392,InputSig,NA,NA,LINCSCP_43534,NPC,10uM,6h
Mouse_NA_Male,Calmidazolium,-0.34616152,InputSig,NA,NA,LINCSCP_6564,A549,10uM,6h
Mouse_NA_Male,ST072947,-0.34294684,InputSig,NA,NA,LINCSCP_46569,PC3,10uM,6h
Mouse_NA_Male,MLS-0208612.0001,-0.34287685,InputSig,NA,NA,LINCSCP_20008,HCC515,10uM,6h
Mouse_NA_Male,MLS000564806,-0.3410486,InputSig,NA,NA,LINCSCP_54075,SW620,10uM,6h
Mouse_NA_Male,4-Chloro-3-nitro-quinolin-2(1H)-one,-0.34086617,InputSig,NA,NA,LINCSCP_1715,A375,10uM,6h
Mouse_NA_Male,SCHEMBL10195776,-0.33943669,InputSig,NA,NA,LINCSCP_412,A375,10uM,6h
Mouse_NA_Male,Lanacordin,-0.33883112,InputSig,NA,NA,LINCSCP_27283,HT29,10uM,6h
Mouse_NA_Male,MLS002703104,-0.33831328,InputSig,NA,NA,LINCSCP_1274,A375,10uM,6h
Mouse_NA_Male,MLS001210968,-0.33754808,InputSig,NA,NA,LINCSCP_178166,A375,10uM,6h
Mouse_NA_Male,Proscillaridin A,-0.33704216,InputSig,NA,NA,LINCSCP_25150,HT29,10uM,6h
