signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp
InputSig,3108,HLA-DMA,-1.84513091116794
InputSig,29083,GTPBP8,-0.188284875413503
InputSig,57406,ABHD6,-0.220512370629663
InputSig,5971,RELB,-0.272843329125903
InputSig,3337,DNAJB1,-0.326258543971433
InputSig,3202,HOXA5,-1.04118238079221
InputSig,3988,LIPA,-0.218186595579029
InputSig,2065,ERBB3,-0.269939533583021
InputSig,8396,PIP4K2B,-0.874264718417007
InputSig,2736,GLI2,-0.199124095680345
InputSig,10221,TRIB1,-0.368271276290515
InputSig,23,ABCF1,-0.746739708336226
InputSig,25932,CLIC4,-0.228066752151158
InputSig,652,BMP4,-0.25483320516504
InputSig,4998,ORC1,-0.215022940972766
InputSig,780,DDR1,-0.527537302426539
InputSig,9212,AURKB,-0.417263003535488
InputSig,7082,TJP1,-0.275656252019763
InputSig,3398,ID2,-0.217485193195747
InputSig,1846,DUSP4,-0.280164544700719
InputSig,2886,GRB7,-0.570081563454284
InputSig,2353,FOS,-1.34123489557376
InputSig,3280,HES1,-0.297346743045177
InputSig,7020,TFAP2A,-0.406696873560145
InputSig,9134,CCNE2,-0.377422040702031
InputSig,4783,NFIL3,-0.269376359908912
InputSig,84890,ADO,-0.185314866596455
InputSig,3206,HOXA10,-0.63942486763612
InputSig,9926,LPGAT1,-0.184465284521623
InputSig,5743,PTGS2,-1.45948053743337
InputSig,5997,RGS2,-0.391319418905269
InputSig,6696,SPP1,-0.46122490008408
InputSig,5796,PTPRK,-0.236741754557644
InputSig,1870,E2F2,-0.727928503675449
InputSig,5054,SERPINE1,-0.268906411662358
InputSig,81533,ITFG1,-0.187400645258669
InputSig,25805,BAMBI,-0.216954821893427
InputSig,8444,DYRK3,-0.278199780082059
InputSig,1958,EGR1,-0.708939944116417
InputSig,60493,FASTKD5,-0.243381580491914
InputSig,23321,TRIM2,-0.185236881937919
InputSig,1026,CDKN1A,-0.192516509975354
InputSig,8835,SOCS2,-0.254891019166843
InputSig,1848,DUSP6,-0.450458486952557
InputSig,3775,KCNK1,-0.21668214523706
InputSig,4312,MMP1,-0.380167478807772
InputSig,9124,PDLIM1,-0.278162196003094
InputSig,533,ATP6V0B,-0.190299496572174
