Count of Run,Column Labels,,,
Row Labels,NA,no,yes,Grand Total
CTRL,33,78,11,122
Anterior Insula (aINS),6,14,2,22
Cingulate gyrus 25 (Cg25),4,10,1,15
Dorsolateral prefrontal cortex (dlPFC; BA8/9),6,14,2,22
Nucleus Accumbens (Nac),6,14,2,22
Orbitofrontal (OFC; BA11),6,14,2,22
Subiculum (Sub),5,12,2,19
MDD,44,21,78,143
Anterior Insula (aINS),8,4,14,26
Cingulate gyrus 25 (Cg25),3,2,8,13
Dorsolateral prefrontal cortex (dlPFC; BA8/9),8,4,14,26
Nucleus Accumbens (Nac),10,4,14,28
Orbitofrontal (OFC; BA11),8,4,14,26
Subiculum (Sub),7,3,14,24
Grand Total,77,99,89,265
